source,destination
"TakeFromResultCountOn_(5,10)-(1,1)","TakeFromResultCountOn_(8,10)-(2,2)"
"TakeFromResultCountOn_(5,10)-(1,1)","TakeFromResultCountOn_(16,20)-(1,1)"
"TakeFromResultCountOn_(8,10)-(2,2)","AddToChangeColor_(5,10)-(1,1)"
"AddToChangeColor_(5,10)-(1,1)","AddToChangeColor_(11,15)-(1,1)"
"AddToChangeColor_(5,10)-(1,1)","AddToChange_(5,10)-(1,1)"
"AddToChangeColor_(5,10)-(1,1)","TakeFromChange_(5,10)-(1,1)"
"AddToChangeColor_(5,10)-(1,1)","PutTogetherAddend_2,5"
"AddToChangeColor_(11,15)-(1,1)","AddToChangeColor_(16,20)-(1,1)"
"AddToChangeColor_(11,15)-(1,1)","AddToChange_(11,15)-(2,2)"
"AddToChangeColor_(11,15)-(1,1)","TakeFromChange_(11,15)-(2,2)"
"AddToChange_(5,10)-(1,1)","AddToChange_(16,20)-(1,1)"
"AddToChange_(5,10)-(1,1)","AddToChange_(11,15)-(2,2)"
"AddToChange_(5,10)-(1,1)","AddToChange_(8,10)-(3,5)"
"TakeFromChange_(5,10)-(1,1)","TakeFromChange_(16,20)-(1,1)"
"TakeFromChange_(5,10)-(1,1)","TakeFromChange_(11,15)-(2,2)"
"TakeFromChange_(5,10)-(1,1)","TakeFromChange_(8,10)-(3,5)"
"PutTogetherAddend_2,5","PutTogetherAddend_7,9"
"AddToChangeColor_(16,20)-(1,1)","AddToChange_(16,20)-(1,1)"
"AddToChangeColor_(16,20)-(1,1)","TakeFromChange_(16,20)-(1,1)"
"PutTogetherAddend_7,9","PutTogetherAddend_12,14"
