source,destination
"TakeFromResultCountOn_(8,10)-(2,2)","TakeFromResultCountOn_(11,15)-(3,3)"
"TakeFromResultCountOn_(8,10)-(2,2)","AddToChangeColor_(5,10)-(2,2)"
"TakeFromResultCountOn_(11,15)-(3,3)","TakeFromResultCountOn_(16,20)-(3,3)"
"AddToChangeColor_(5,10)-(2,2)","AddToChangeColor_(16,20)-(2,2)"
"AddToChangeColor_(5,10)-(2,2)","AddToChange_(5,10)-(2,2)"
"AddToChangeColor_(5,10)-(2,2)","TakeFromChange_(5,10)-(2,2)"
"AddToChangeColor_(5,10)-(2,2)","PutTogetherAddend_7,9"
"AddToChangeColor_(16,20)-(2,2)","AddToChangeColor_(12,20)-(3,11)"
"AddToChangeColor_(16,20)-(2,2)","AddToChange_(16,20)-(5,10)"
"AddToChangeColor_(16,20)-(2,2)","TakeFromChange_(16,20)-(5,10)"
"AddToChange_(5,10)-(2,2)","AddToChange_(11,15)-(3,5)"
"TakeFromChange_(5,10)-(2,2)","TakeFromChange_(11,15)-(3,5)"
"PutTogetherAddend_7,9","PutTogetherAddend_13,15"
"AddToChange_(11,15)-(3,5)","AddToChange_(16,20)-(5,10)"
"TakeFromChange_(11,15)-(3,5)","TakeFromChange_(16,20)-(5,10)"
"PutTogetherAddend_13,15","PutTogetherAddend_18,20"
"AddToChange_(16,20)-(5,10)","AddToChange_(12,20)-(3,11)"
"TakeFromChange_(16,20)-(5,10)","TakeFromChange_(12,20)-(3,11)"
"PutTogetherAddend_18,20","PutTogetherAddend_14,20"
